layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.0409913466962413,0.05990653835617076,
0,decoder_cross_attn,reverse,0.04039325050558963,0.06331823543817364,
0,decoder_mlp,forward,0.0409913466962413,0.05990653835617076,
0,decoder_mlp,reverse,0.04039325050558963,0.06331823543817364,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,-0.015218629782339987,0.1888154647388205,
0,encoder_mlp,reverse,-2.7355811621597512,3.2996474036607983,
0,encoder_self_attn,forward,-0.015218629782339987,0.1888154647388205,
0,encoder_self_attn,reverse,-2.7355811621597512,3.2996474036607983,
1,decoder_cross_attn,forward,0.08537497095234621,0.14226852819751187,
1,decoder_cross_attn,reverse,0.0819667582643469,0.14263396839577316,
1,decoder_mlp,forward,0.08537497095234621,0.14226852819751187,
1,decoder_mlp,reverse,0.0819667582643469,0.14263396839577316,
1,decoder_self_attn,forward,0.0409913466962413,0.05990653835617076,
1,decoder_self_attn,reverse,0.04039325050558963,0.06331823543817364,
1,encoder_mlp,forward,-0.09181035308797995,0.2780137781123297,
1,encoder_mlp,reverse,-1.8049704088011276,2.6182274160750363,
1,encoder_self_attn,forward,-0.09181035308797995,0.2780137781123297,
1,encoder_self_attn,reverse,-1.8049704088011276,2.6182274160750363,
2,decoder_cross_attn,forward,0.1407334350498398,0.12027038749079617,
2,decoder_cross_attn,reverse,0.13634906423766643,0.12231939211518102,
2,decoder_mlp,forward,0.1407334350498398,0.12027038749079617,
2,decoder_mlp,reverse,0.13634906423766643,0.12231939211518102,
2,decoder_self_attn,forward,0.08537497095234621,0.14226852819751187,
2,decoder_self_attn,reverse,0.0819667582643469,0.14263396839577316,
2,encoder_mlp,forward,0.03287360056000485,0.35088501396658056,
2,encoder_mlp,reverse,-2.513804804978457,2.7093127230546123,
2,encoder_self_attn,forward,0.03287360056000485,0.35088501396658056,
2,encoder_self_attn,reverse,-2.513804804978457,2.7093127230546123,
3,decoder_cross_attn,forward,0.1588138557454896,0.13418284872642108,
3,decoder_cross_attn,reverse,0.15272106957962242,0.13540475513580105,
3,decoder_mlp,forward,0.1588138557454896,0.13418284872642108,
3,decoder_mlp,reverse,0.15272106957962242,0.13540475513580105,
3,decoder_self_attn,forward,0.1407334350498398,0.12027038749079617,
3,decoder_self_attn,reverse,0.13634906423766643,0.12231939211518102,
3,encoder_mlp,forward,0.02401680030373168,0.33412774803895634,
3,encoder_mlp,reverse,-2.3599386874715527,2.815361379369314,
3,encoder_self_attn,forward,0.02401680030373168,0.33412774803895634,
3,encoder_self_attn,reverse,-2.3599386874715527,2.815361379369314,
4,decoder_cross_attn,forward,0.1718827859491904,0.13803462105208233,
4,decoder_cross_attn,reverse,0.16432250873265775,0.1406644144056525,
4,decoder_mlp,forward,0.1718827859491904,0.13803462105208233,
4,decoder_mlp,reverse,0.16432250873265775,0.1406644144056525,
4,decoder_self_attn,forward,0.1588138557454896,0.13418284872642108,
4,decoder_self_attn,reverse,0.15272106957962242,0.13540475513580105,
4,encoder_mlp,forward,0.05658604407422704,0.3918694287689526,
4,encoder_mlp,reverse,-2.473356155825656,2.9857203679713096,
4,encoder_self_attn,forward,0.05658604407422704,0.3918694287689526,
4,encoder_self_attn,reverse,-2.473356155825656,2.9857203679713096,
5,decoder_cross_attn,forward,0.2179953327720951,0.15739641552037553,
5,decoder_cross_attn,reverse,0.2013818525529628,0.1577046129669947,
5,decoder_mlp,forward,0.2179953327720951,0.15739641552037553,
5,decoder_mlp,reverse,0.2013818525529628,0.1577046129669947,
5,decoder_self_attn,forward,0.1718827859491904,0.13803462105208233,
5,decoder_self_attn,reverse,0.16432250873265775,0.1406644144056525,
5,encoder_mlp,forward,0.277814203867695,0.46845291230715647,
5,encoder_mlp,reverse,-1.9648839847754027,2.4451642937624265,
5,encoder_self_attn,forward,0.277814203867695,0.46845291230715647,
5,encoder_self_attn,reverse,-1.9648839847754027,2.4451642937624265,
6,decoder_cross_attn,forward,0.28262371337880493,0.16131461202326078,
6,decoder_cross_attn,reverse,0.261221375960539,0.16094740228495932,
6,decoder_mlp,forward,0.28262371337880493,0.16131461202326078,
6,decoder_mlp,reverse,0.261221375960539,0.16094740228495932,
6,decoder_self_attn,forward,0.2179953327720951,0.15739641552037553,
6,decoder_self_attn,reverse,0.2013818525529628,0.1577046129669947,
6,encoder_mlp,forward,0.3226106428613215,0.5201338439811799,
6,encoder_mlp,reverse,-2.0039572405484924,2.7990149007734044,
6,encoder_self_attn,forward,0.3226106428613215,0.5201338439811799,
6,encoder_self_attn,reverse,-2.0039572405484924,2.7990149007734044,
7,decoder_cross_attn,forward,0.3655409197865927,0.1621388277383314,
7,decoder_cross_attn,reverse,0.3430354865503806,0.15923309660894014,
7,decoder_mlp,forward,0.3655409197865927,0.1621388277383314,
7,decoder_mlp,reverse,0.3430354865503806,0.15923309660894014,
7,decoder_self_attn,forward,0.28262371337880493,0.16131461202326078,
7,decoder_self_attn,reverse,0.261221375960539,0.16094740228495932,
7,encoder_mlp,forward,0.44371270323217993,0.6639990238613865,
7,encoder_mlp,reverse,-1.3924553139723812,2.425128168352089,
7,encoder_self_attn,forward,0.44371270323217993,0.6639990238613865,
7,encoder_self_attn,reverse,-1.3924553139723812,2.425128168352089,
