layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.014799245884840133,0.025081980056614692,
0,decoder_cross_attn,reverse,0.01605953214808154,0.024777093773502325,
0,decoder_mlp,forward,0.014799245884840133,0.025081980056614692,
0,decoder_mlp,reverse,0.01605953214808154,0.024777093773502325,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.07046069434387804,0.18089442012493287,
0,encoder_mlp,reverse,-0.9199558847262604,2.0641891884849572,
0,encoder_self_attn,forward,0.07046069434387804,0.18089442012493287,
0,encoder_self_attn,reverse,-0.9199558847262604,2.0641891884849572,
1,decoder_cross_attn,forward,0.03221725031840265,0.03752387154454203,
1,decoder_cross_attn,reverse,0.033397553092339674,0.03940692376701662,
1,decoder_mlp,forward,0.03221725031840265,0.03752387154454203,
1,decoder_mlp,reverse,0.033397553092339674,0.03940692376701662,
1,decoder_self_attn,forward,0.014799245884840133,0.025081980056614692,
1,decoder_self_attn,reverse,0.01605953214808154,0.024777093773502325,
1,encoder_mlp,forward,0.17076057799407204,0.2558388286321232,
1,encoder_mlp,reverse,0.34519744662683655,1.342888121910952,
1,encoder_self_attn,forward,0.17076057799407204,0.2558388286321232,
1,encoder_self_attn,reverse,0.34519744662683655,1.342888121910952,
2,decoder_cross_attn,forward,0.07831809237535459,0.04965835073345535,
2,decoder_cross_attn,reverse,0.07777483583441261,0.05116703429312219,
2,decoder_mlp,forward,0.07831809237535459,0.04965835073345535,
2,decoder_mlp,reverse,0.07777483583441261,0.05116703429312219,
2,decoder_self_attn,forward,0.03221725031840265,0.03752387154454203,
2,decoder_self_attn,reverse,0.033397553092339674,0.03940692376701662,
2,encoder_mlp,forward,0.21775754694446825,0.3629651678045273,
2,encoder_mlp,reverse,0.4998714459321934,1.1462029137064054,
2,encoder_self_attn,forward,0.21775754694446825,0.3629651678045273,
2,encoder_self_attn,reverse,0.4998714459321934,1.1462029137064054,
3,decoder_cross_attn,forward,0.09309773451760545,0.061221797279154985,
3,decoder_cross_attn,reverse,0.09242785255023948,0.06317768315083279,
3,decoder_mlp,forward,0.09309773451760545,0.061221797279154985,
3,decoder_mlp,reverse,0.09242785255023948,0.06317768315083279,
3,decoder_self_attn,forward,0.07831809237535459,0.04965835073345535,
3,decoder_self_attn,reverse,0.07777483583441261,0.05116703429312219,
3,encoder_mlp,forward,0.2688576868426837,0.45241521835322457,
3,encoder_mlp,reverse,0.5824330353742357,0.8750145893601091,
3,encoder_self_attn,forward,0.2688576868426837,0.45241521835322457,
3,encoder_self_attn,reverse,0.5824330353742357,0.8750145893601091,
4,decoder_cross_attn,forward,0.13471130521834065,0.0638433865810653,
4,decoder_cross_attn,reverse,0.13434863042845102,0.06525049069007548,
4,decoder_mlp,forward,0.13471130521834065,0.0638433865810653,
4,decoder_mlp,reverse,0.13434863042845102,0.06525049069007548,
4,decoder_self_attn,forward,0.09309773451760545,0.061221797279154985,
4,decoder_self_attn,reverse,0.09242785255023948,0.06317768315083279,
4,encoder_mlp,forward,0.3970624897976096,0.548715595385106,
4,encoder_mlp,reverse,0.7406067988582017,0.7489345381452119,
4,encoder_self_attn,forward,0.3970624897976096,0.548715595385106,
4,encoder_self_attn,reverse,0.7406067988582017,0.7489345381452119,
5,decoder_cross_attn,forward,0.17907994446937134,0.07029463592557941,
5,decoder_cross_attn,reverse,0.17581606337532954,0.07138100795772795,
5,decoder_mlp,forward,0.17907994446937134,0.07029463592557941,
5,decoder_mlp,reverse,0.17581606337532954,0.07138100795772795,
5,decoder_self_attn,forward,0.13471130521834065,0.0638433865810653,
5,decoder_self_attn,reverse,0.13434863042845102,0.06525049069007548,
5,encoder_mlp,forward,0.45058608072149653,0.5728075074241392,
5,encoder_mlp,reverse,0.8336861288794346,0.5992387167995966,
5,encoder_self_attn,forward,0.45058608072149653,0.5728075074241392,
5,encoder_self_attn,reverse,0.8336861288794346,0.5992387167995966,
6,decoder_cross_attn,forward,0.26913082946736905,0.08317479473272935,
6,decoder_cross_attn,reverse,0.2620772055459569,0.0874403563044151,
6,decoder_mlp,forward,0.26913082946736905,0.08317479473272935,
6,decoder_mlp,reverse,0.2620772055459569,0.0874403563044151,
6,decoder_self_attn,forward,0.17907994446937134,0.07029463592557941,
6,decoder_self_attn,reverse,0.17581606337532954,0.07138100795772795,
6,encoder_mlp,forward,0.5221068807488851,0.503889208199719,
