layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.02668734991733474,0.04123020217717452,
0,decoder_cross_attn,reverse,0.02519013300314706,0.04108518730690555,
0,decoder_mlp,forward,0.02668734991733474,0.04123020217717452,
0,decoder_mlp,reverse,0.02519013300314706,0.04108518730690555,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.13979594015236085,0.34427303972777007,
0,encoder_mlp,reverse,-0.3855609735373859,1.7681963108053134,
0,encoder_self_attn,forward,0.13979594015236085,0.34427303972777007,
0,encoder_self_attn,reverse,-0.3855609735373859,1.7681963108053134,
1,decoder_cross_attn,forward,0.028132309220012735,0.06814421334134058,
1,decoder_cross_attn,reverse,0.025609051100137857,0.06977000849247565,
1,decoder_mlp,forward,0.028132309220012735,0.06814421334134058,
1,decoder_mlp,reverse,0.025609051100137857,0.06977000849247565,
1,decoder_self_attn,forward,0.02668734991733474,0.04123020217717452,
1,decoder_self_attn,reverse,0.02519013300314706,0.04108518730690555,
1,encoder_mlp,forward,0.22094374205707146,0.3441728989395731,
1,encoder_mlp,reverse,0.6883593499596115,1.3703628294481642,
1,encoder_self_attn,forward,0.22094374205707146,0.3441728989395731,
1,encoder_self_attn,reverse,0.6883593499596115,1.3703628294481642,
2,decoder_cross_attn,forward,0.06379587827331179,0.062230739130156004,
2,decoder_cross_attn,reverse,0.05838182318332426,0.06118856118515763,
2,decoder_mlp,forward,0.06379587827331179,0.062230739130156004,
2,decoder_mlp,reverse,0.05838182318332426,0.06118856118515763,
2,decoder_self_attn,forward,0.028132309220012735,0.06814421334134058,
2,decoder_self_attn,reverse,0.025609051100137857,0.06977000849247565,
2,encoder_mlp,forward,0.28510148552047093,0.32671656233653906,
2,encoder_mlp,reverse,0.6953961186450173,1.0016396464326451,
2,encoder_self_attn,forward,0.28510148552047093,0.32671656233653906,
2,encoder_self_attn,reverse,0.6953961186450173,1.0016396464326451,
3,decoder_cross_attn,forward,0.08399378790521832,0.05898731226327163,
3,decoder_cross_attn,reverse,0.07793746577028146,0.05843765120770883,
3,decoder_mlp,forward,0.08399378790521832,0.05898731226327163,
3,decoder_mlp,reverse,0.07793746577028146,0.05843765120770883,
3,decoder_self_attn,forward,0.06379587827331179,0.062230739130156004,
3,decoder_self_attn,reverse,0.05838182318332426,0.06118856118515763,
3,encoder_mlp,forward,0.31529177704906014,0.3675908522704436,
3,encoder_mlp,reverse,0.710738360285278,1.014416772823938,
3,encoder_self_attn,forward,0.31529177704906014,0.3675908522704436,
