attack_name,token,position,repetitions,n_pairs_loaded,n_scored,n_align_failed,n_selected,mean_attack_delta,median_attack_delta,max_attack_delta,top_layer,top_component,top_combined_effect,late_encoder_mean,late_decoder_self_attn_mean,late_decoder_cross_attn_mean,late_decoder_mlp_mean
bar_end_1,bar,end,1,500,500,0,153,-0.049731090545654284,-0.0251569747924804,0.3953657150268554,11,decoder_cross_attn,1.0,0.44874781183876505,0.46722702844377917,0.6412060849199156,0.6412060849199156
bar_end_2,bar,end,2,500,500,0,200,-0.03646853452920913,-0.011924743652343701,0.4590167999267578,11,decoder_cross_attn,1.0,0.3599973408078464,0.5150534225788113,0.6871782964008366,0.6871782964008366
bar_end_3,bar,end,3,500,500,0,200,-0.038284648001194,-0.01069402694702145,0.4999036788940429,11,decoder_cross_attn,1.0,0.33463045735472197,0.5133724283383846,0.6782312453577936,0.6782312453577936
bar_end_4,bar,end,4,500,500,0,200,-0.03702843970060348,-0.00819683074951165,0.6258335113525391,11,decoder_cross_attn,1.0,0.33773122202019057,0.5168386683679332,0.6810797967303381,0.6810797967303381
bar_end_5,bar,end,5,500,500,0,200,-0.030181350708007815,-0.00125241279602045,0.8303070068359375,11,decoder_cross_attn,1.0,0.26746054688288057,0.5180879867704568,0.6820093433868013,0.6820093433868013
bar_random_1,bar,random,1,500,500,0,123,-0.06979535096883771,-0.0289435386657714,0.9620141983032228,11,decoder_cross_attn,1.0,0.932746482494541,0.4837227629005816,0.6614031552722504,0.6614031552722504
bar_random_2,bar,random,2,500,500,0,114,-0.1429245899915695,-0.06353473663330075,1.8549299240112305,11,decoder_cross_attn,1.0,0.8970029658029373,0.48386919932371786,0.6563762913031501,0.6563762913031501
bar_random_3,bar,random,3,500,499,1,116,-0.18434630910714786,-0.0839347839355468,3.343818187713623,11,decoder_cross_attn,1.0,0.887789936888609,0.449686088001915,0.627184817541499,0.627184817541499
bar_random_4,bar,random,4,500,499,1,107,-0.21180307345543214,-0.1083917617797851,1.5669326782226562,11,decoder_cross_attn,1.0,0.9214318425787137,0.5004309751934035,0.6686638321644873,0.6686638321644873
bar_random_5,bar,random,5,500,499,1,121,-0.22601221582454767,-0.1197795867919921,1.659732699394226,11,decoder_cross_attn,1.0,0.8570614735599713,0.4944945786764888,0.6622762863718951,0.6622762863718951
bar_start_1,bar,start,1,500,500,0,157,-0.1372534677386284,-0.0524311065673828,1.5290594100952148,11,decoder_cross_attn,1.0,0.8206054208361162,0.49026606621631,0.6610303365723385,0.6610303365723385
bar_start_2,bar,start,2,500,500,0,153,-0.1325105329155922,-0.05900907516479485,2.081507682800293,11,decoder_cross_attn,1.0,0.9273087442903661,0.51654839780503,0.6822955823326736,0.6822955823326736
