attack_name,token,position,repetitions,n_pairs_loaded,n_scored,n_align_failed,n_selected,mean_attack_delta,median_attack_delta,max_attack_delta,top_layer,top_component,top_combined_effect,late_encoder_mean,late_decoder_self_attn_mean,late_decoder_cross_attn_mean,late_decoder_mlp_mean
relevant_start_1,relevant,start,1,500,500,0,133,-0.10666318087851977,-0.0571937561035156,0.4339609146118164,11,decoder_cross_attn,1.0,0.4503650260689783,0.4345595094186935,0.6108912312024987,0.6108912312024987
relevant_start_2,relevant,start,2,500,500,0,193,-0.058917227589374205,-0.036081314086914,2.994540214538574,11,decoder_cross_attn,1.0,0.5742024552992271,0.4927738710601793,0.6657268739632953,0.6657268739632953
relevant_start_3,relevant,start,3,500,500,0,200,0.1625360976254426,0.0484428405761718,6.052419900894165,11,decoder_cross_attn,1.0,0.5503295386622394,0.5365686891885738,0.7049651374271564,0.7049651374271564
relevant_start_4,relevant,start,4,500,500,0,200,0.28976275384793293,0.1260061264038086,6.286278605461121,11,decoder_cross_attn,1.0,0.57161038071718,0.5434751498106001,0.7103376220644098,0.7103376220644098
relevant_start_5,relevant,start,5,500,500,0,200,0.3684120793851739,0.183568000793457,5.911318302154541,11,decoder_cross_attn,1.0,0.5791669507021027,0.54888487098538,0.7146526947419926,0.7146526947419926
true_end_1,true,end,1,500,500,0,98,-0.07066477666890104,-0.0395917892456054,0.2943811416625976,11,encoder_mlp,1.0042466386641222,0.4207099495297505,0.4646073822185801,0.6565632768604142,0.6565632768604142
true_end_2,true,end,2,500,500,0,87,-0.08531696840478162,-0.0537216663360595,0.2052602767944336,11,decoder_cross_attn,1.0,0.21403552693490682,0.34273377809959915,0.5618795585802059,0.5618795585802059
true_end_3,true,end,3,500,500,0,82,-0.10587137503056063,-0.0692682266235351,0.2691068649291992,11,decoder_cross_attn,1.0,0.18059057823527175,0.36022089315185324,0.5824152314965163,0.5824152314965163
true_end_4,true,end,4,500,500,0,100,-0.10896381521616628,-0.0685377120971679,0.2771739959716797,11,decoder_cross_attn,1.0,0.18670604464456403,0.3162827655798355,0.5491920582417795,0.5491920582417795
true_end_5,true,end,5,500,500,0,110,-0.10622236279491525,-0.064854621887207,0.2936849594116211,11,decoder_cross_attn,1.0,0.19768237060390115,0.37319795376435616,0.5870013153378284,0.5870013153378284
true_random_1,true,random,1,500,500,0,138,-0.03898078429625508,-0.0267190933227539,0.8194332122802734,11,decoder_cross_attn,1.0,0.9090956726800548,0.46083839792907777,0.6436107722293132,0.6436107722293132
true_random_2,true,random,2,500,500,0,137,-0.07931067548248558,-0.053314208984375,2.2927417755126958,10,encoder_mlp,1.0045650827832848,0.9409810043734531,0.4799234597789406,0.6525327054429408,0.6525327054429408
true_random_3,true,random,3,500,500,0,124,-0.14511023091584505,-0.0773382186889648,1.5461463928222656,10,encoder_mlp,1.0511852699614763,0.9138306248715333,0.4790633659421443,0.6497523172301527,0.6497523172301527
true_random_4,true,random,4,500,499,1,105,-0.21665418607008777,-0.1109580993652343,1.3305673599243164,10,encoder_mlp,1.031417239517903,0.9381717382809357,0.4926482258596677,0.653525825948397,0.653525825948397
true_random_5,true,random,5,500,497,3,93,-0.3008568690175638,-0.1338968276977539,0.8404960632324219,11,decoder_cross_attn,1.0,0.8658886837896698,0.4932748045071324,0.6577431154773044,0.6577431154773044
true_start_1,true,start,1,500,500,0,129,-0.1460805650364447,-0.0681838989257812,1.7405376434326172,11,decoder_cross_attn,1.0,0.9390941532522448,0.4509810949845905,0.633002442861389,0.633002442861389
true_start_2,true,start,2,500,500,0,113,-0.1677153483798127,-0.079380989074707,1.0396461486816406,9,encoder_mlp,1.0829629375774938,0.8926763038493015,0.4111515508751425,0.6115056113879399,0.6115056113879399
true_start_3,true,start,3,500,500,0,126,-0.16305761042316835,-0.0851469039916992,1.108734130859375,9,encoder_mlp,1.1289589008681489,1.009396424016356,0.43563130664461136,0.6243469112423221,0.6243469112423221
true_start_4,true,start,4,500,500,0,149,-0.1378937959059063,-0.0721902847290039,1.2409088015556335,10,encoder_mlp,1.075201758184032,1.0136158059071683,0.4629059768686194,0.6410523991319259,0.6410523991319259
true_start_5,true,start,5,500,500,0,178,-0.1118634318057027,-0.0537691116333007,1.473200261592865,10,encoder_mlp,1.0031644787588558,0.9401302644723788,0.468891831609113,0.6464599689401627,0.6464599689401627
