qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
490595,8817806,0,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.361360549926758,-0.017316359160966518
490595,8817806,0,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-7.656872749328613,-0.25417080172018225
490595,8817806,0,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.361360549926758,-0.017316359160966518
490595,8817806,0,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-7.656872749328613,-0.25417080172018225
490595,8817806,1,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.33471393585205,0.0025610654032077345
490595,8817806,1,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-7.536441802978516,-0.34400799621531447
490595,8817806,1,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.33471393585205,0.0025610654032077345
490595,8817806,1,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-7.536441802978516,-0.34400799621531447
490595,8817806,2,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.365097045898438,-0.020103652008124268
490595,8817806,2,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-7.537764549255371,-0.343021274628023
490595,8817806,2,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.365097045898438,-0.020103652008124268
490595,8817806,2,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-7.537764549255371,-0.343021274628023
490595,8817806,3,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.347652435302734,-0.007090594131603191
490595,8817806,3,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.770659446716309,0.5766743854332291
490595,8817806,3,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.347652435302734,-0.007090594131603191
490595,8817806,3,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.770659446716309,0.5766743854332291
490595,8817806,4,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.399076461791992,-0.045451085429316376
490595,8817806,4,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.4611177444458,0.34576730586590687
490595,8817806,4,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.399076461791992,-0.045451085429316376
490595,8817806,4,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.4611177444458,0.34576730586590687
490595,8817806,5,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.511286735534668,-0.12915595109787895
490595,8817806,5,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.466733932495117,0.34995678202132086
490595,8817806,5,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.511286735534668,-0.12915595109787895
490595,8817806,5,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.466733932495117,0.34995678202132086
490595,8817806,6,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.490886688232422,-0.11393824275342987
490595,8817806,6,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.294800758361816,0.22170076084984686
490595,8817806,6,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.490886688232422,-0.11393824275342987
490595,8817806,6,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.294800758361816,0.22170076084984686
490595,8817806,7,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.409887313842773,-0.05351559582119495
490595,8817806,7,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.292770385742188,0.22018617522667208
490595,8817806,7,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.409887313842773,-0.05351559582119495
490595,8817806,7,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.292770385742188,0.22018617522667208
490595,8817806,8,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.224321365356445,0.0849099892221831
490595,8817806,8,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.293344497680664,0.22061444227465293
490595,8817806,8,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.224321365356445,0.0849099892221831
490595,8817806,8,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.293344497680664,0.22061444227465293
490595,8817806,9,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.193408966064453,0.10796953754984295
490595,8817806,9,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.520285606384277,0.3899044224619664
490595,8817806,9,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.193408966064453,0.10796953754984295
490595,8817806,9,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.520285606384277,0.3899044224619664
490595,8817806,10,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-8.988471984863281,0.2608452227237642
490595,8817806,10,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-9.079399108886719,0.8069831716660798
490595,8817806,10,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-8.988471984863281,0.2608452227237642
490595,8817806,10,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-9.079399108886719,0.8069831716660798
490595,8817806,11,encoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-8.80560302734375,0.3972589486115113
490595,8817806,11,encoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-9.306074142456055,0.9760746692846446
490595,8817806,11,encoder_mlp,forward,-9.338147163391113,-7.997600555419922,-8.80560302734375,0.3972589486115113
490595,8817806,11,encoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-9.306074142456055,0.9760746692846446
490595,8817806,0,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.338147163391113,0.0
490595,8817806,0,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-7.997600555419922,0.0
490595,8817806,0,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.328336715698242,0.007318244389666101
490595,8817806,0,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.0018310546875,0.003155801702397086
490595,8817806,0,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.328336715698242,0.007318244389666101
490595,8817806,0,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.0018310546875,0.003155801702397086
490595,8817806,1,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.328336715698242,0.007318244389666101
490595,8817806,1,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.0018310546875,0.003155801702397086
490595,8817806,1,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.306597709655762,0.023534768241366185
490595,8817806,1,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.019311904907227,0.016195893047063134
490595,8817806,1,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.306597709655762,0.023534768241366185
490595,8817806,1,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.019311904907227,0.016195893047063134
490595,8817806,2,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.306597709655762,0.023534768241366185
490595,8817806,2,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.019311904907227,0.016195893047063134
490595,8817806,2,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.308902740478516,0.02181529738593477
490595,8817806,2,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.016805648803711,0.014326315302721488
490595,8817806,2,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.308902740478516,0.02181529738593477
490595,8817806,2,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.016805648803711,0.014326315302721488
490595,8817806,3,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.308902740478516,0.02181529738593477
490595,8817806,3,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.016805648803711,0.014326315302721488
490595,8817806,3,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.294562339782715,0.03251272529372219
490595,8817806,3,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.02531623840332,0.020674911874450884
490595,8817806,3,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.294562339782715,0.03251272529372219
490595,8817806,3,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.02531623840332,0.020674911874450884
490595,8817806,4,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.294562339782715,0.03251272529372219
490595,8817806,4,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.02531623840332,0.020674911874450884
490595,8817806,4,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.284050941467285,0.040353853869876534
490595,8817806,4,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.03836441040039,0.030408383220753166
490595,8817806,4,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.284050941467285,0.040353853869876534
490595,8817806,4,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.03836441040039,0.030408383220753166
490595,8817806,5,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.284050941467285,0.040353853869876534
490595,8817806,5,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.03836441040039,0.030408383220753166
490595,8817806,5,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.275882720947266,0.0464470553083416
490595,8817806,5,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.039121627807617,0.03097324042357176
490595,8817806,5,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.275882720947266,0.0464470553083416
490595,8817806,5,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.039121627807617,0.03097324042357176
490595,8817806,6,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.275882720947266,0.0464470553083416
490595,8817806,6,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.039121627807617,0.03097324042357176
490595,8817806,6,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.267066955566406,0.05302330213813391
490595,8817806,6,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.04916000366211,0.0384615110997286
490595,8817806,6,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.267066955566406,0.05302330213813391
490595,8817806,6,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.04916000366211,0.0384615110997286
490595,8817806,7,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.267066955566406,0.05302330213813391
490595,8817806,7,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.04916000366211,0.0384615110997286
490595,8817806,7,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.215897560119629,0.09119384775177584
490595,8817806,7,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.108646392822266,0.08283623765264128
490595,8817806,7,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.215897560119629,0.09119384775177584
490595,8817806,7,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.108646392822266,0.08283623765264128
490595,8817806,8,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.215897560119629,0.09119384775177584
490595,8817806,8,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.108646392822266,0.08283623765264128
490595,8817806,8,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-9.054496765136719,0.21159308939185367
490595,8817806,8,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.270242691040039,0.20338131773929066
490595,8817806,8,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-9.054496765136719,0.21159308939185367
490595,8817806,8,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.270242691040039,0.20338131773929066
490595,8817806,9,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-9.054496765136719,0.21159308939185367
490595,8817806,9,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.270242691040039,0.20338131773929066
490595,8817806,9,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-8.380992889404297,0.7140029807955666
490595,8817806,9,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.91693115234375,0.6857878655298382
490595,8817806,9,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-8.380992889404297,0.7140029807955666
490595,8817806,9,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.91693115234375,0.6857878655298382
490595,8817806,10,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-8.380992889404297,0.7140029807955666
490595,8817806,10,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.91693115234375,0.6857878655298382
490595,8817806,10,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-8.311687469482422,0.7657023544016534
490595,8817806,10,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-8.982869148254395,0.7349752608196121
490595,8817806,10,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-8.311687469482422,0.7657023544016534
490595,8817806,10,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-8.982869148254395,0.7349752608196121
490595,8817806,11,decoder_self_attn,forward,-9.338147163391113,-7.997600555419922,-8.311687469482422,0.7657023544016534
490595,8817806,11,decoder_self_attn,reverse,-9.338147163391113,-7.997600555419922,-8.982869148254395,0.7349752608196121
490595,8817806,11,decoder_cross_attn,forward,-9.338147163391113,-7.997600555419922,-7.997600555419922,1.0
490595,8817806,11,decoder_cross_attn,reverse,-9.338147163391113,-7.997600555419922,-9.338147163391113,1.0
490595,8817806,11,decoder_mlp,forward,-9.338147163391113,-7.997600555419922,-7.997600555419922,1.0
490595,8817806,11,decoder_mlp,reverse,-9.338147163391113,-7.997600555419922,-9.338147163391113,1.0
264014,4664190,0,encoder_self_attn,forward,-5.733450889587402,-5.187444686889648,-5.644356727600098,0.1631742671550262
264014,4664190,0,encoder_self_attn,reverse,-5.733450889587402,-5.187444686889648,-5.46672248840332,0.5114919942919922
264014,4664190,0,encoder_mlp,forward,-5.733450889587402,-5.187444686889648,-5.644356727600098,0.1631742671550262
264014,4664190,0,encoder_mlp,reverse,-5.733450889587402,-5.187444686889648,-5.46672248840332,0.5114919942919922
264014,4664190,1,encoder_self_attn,forward,-5.733450889587402,-5.187444686889648,-5.631465911865234,0.18678355157555337
