layer,component,direction,mean_effect,std_effect,n_examples
0,decoder_cross_attn,forward,0.02497931457855464,0.023317014664379198,100
0,decoder_cross_attn,reverse,0.02528567071221404,0.024931367691028467,100
0,decoder_mlp,forward,0.02497931457855464,0.023317014664379198,100
0,decoder_mlp,reverse,0.02528567071221404,0.024931367691028467,100
0,decoder_self_attn,forward,0.0,0.0,100
0,decoder_self_attn,reverse,0.0,0.0,100
0,encoder_mlp,forward,0.041179008046583275,0.1574319604157379,100
0,encoder_mlp,reverse,-1.3543103145835815,1.7448791354360629,100
0,encoder_self_attn,forward,0.041179008046583275,0.1574319604157379,100
0,encoder_self_attn,reverse,-1.3543103145835815,1.7448791354360629,100
1,decoder_cross_attn,forward,0.06455660710185565,0.05040850854854667,100
1,decoder_cross_attn,reverse,0.0568245603694009,0.05398267345257004,100
1,decoder_mlp,forward,0.06455660710185565,0.05040850854854667,100
1,decoder_mlp,reverse,0.0568245603694009,0.05398267345257004,100
1,decoder_self_attn,forward,0.02497931457855464,0.023317014664379198,100
1,decoder_self_attn,reverse,0.02528567071221404,0.024931367691028467,100
1,encoder_mlp,forward,0.06573862960014776,0.18723109306367067,100
1,encoder_mlp,reverse,-1.0631959084341625,1.6703563311461118,100
1,encoder_self_attn,forward,0.06573862960014776,0.18723109306367067,100
1,encoder_self_attn,reverse,-1.0631959084341625,1.6703563311461118,100
2,decoder_cross_attn,forward,0.14866446203610142,0.08975382568382784,100
2,decoder_cross_attn,reverse,0.1375063775467122,0.08933747389481075,100
2,decoder_mlp,forward,0.14866446203610142,0.08975382568382784,100
2,decoder_mlp,reverse,0.1375063775467122,0.08933747389481075,100
2,decoder_self_attn,forward,0.06455660710185565,0.05040850854854667,100
2,decoder_self_attn,reverse,0.0568245603694009,0.05398267345257004,100
2,encoder_mlp,forward,0.012079607319768974,0.20670240500082573,100
2,encoder_mlp,reverse,-1.0158758592409038,1.5407449164013327,100
2,encoder_self_attn,forward,0.012079607319768974,0.20670240500082573,100
2,encoder_self_attn,reverse,-1.0158758592409038,1.5407449164013327,100
3,decoder_cross_attn,forward,0.17102576931731675,0.09448944115861703,100
3,decoder_cross_attn,reverse,0.15791572042938243,0.09342046923984186,100
3,decoder_mlp,forward,0.17102576931731675,0.09448944115861703,100
3,decoder_mlp,reverse,0.15791572042938243,0.09342046923984186,100
3,decoder_self_attn,forward,0.14866446203610142,0.08975382568382784,100
3,decoder_self_attn,reverse,0.1375063775467122,0.08933747389481075,100
3,encoder_mlp,forward,0.027687655998380776,0.23738687479609752,100
3,encoder_mlp,reverse,-0.05892017852991391,0.8745192719951399,100
3,encoder_self_attn,forward,0.027687655998380776,0.23738687479609752,100
3,encoder_self_attn,reverse,-0.05892017852991391,0.8745192719951399,100
4,decoder_cross_attn,forward,0.20887831415328806,0.10038619729835228,100
4,decoder_cross_attn,reverse,0.1979655583281411,0.0975301713452845,100
4,decoder_mlp,forward,0.20887831415328806,0.10038619729835228,100
4,decoder_mlp,reverse,0.1979655583281411,0.0975301713452845,100
4,decoder_self_attn,forward,0.17102576931731675,0.09448944115861703,100
4,decoder_self_attn,reverse,0.15791572042938243,0.09342046923984186,100
4,encoder_mlp,forward,0.06252426229141009,0.25274630409055343,100
4,encoder_mlp,reverse,0.2617383441979136,0.7132464690299134,100
4,encoder_self_attn,forward,0.06252426229141009,0.25274630409055343,100
4,encoder_self_attn,reverse,0.2617383441979136,0.7132464690299134,100
5,decoder_cross_attn,forward,0.22917086085573665,0.09890859237703528,100
