qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
19335,6902387,0,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.820765495300293,0.044886897756898254
19335,6902387,0,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-7.872254371643066,-1.463877845315249
19335,6902387,0,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.820765495300293,0.044886897756898254
19335,6902387,0,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-7.872254371643066,-1.463877845315249
19335,6902387,1,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.745628356933594,0.1381663537106013
19335,6902387,1,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-8.45264720916748,-0.7433456384658917
19335,6902387,1,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.745628356933594,0.1381663537106013
19335,6902387,1,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-8.45264720916748,-0.7433456384658917
19335,6902387,2,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.549439430236816,0.38172628617839205
19335,6902387,2,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-8.970016479492188,-0.10105442120492426
19335,6902387,2,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.549439430236816,0.38172628617839205
19335,6902387,2,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-8.970016479492188,-0.10105442120492426
19335,6902387,3,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.449098587036133,0.5062950342988798
19335,6902387,3,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.168512344360352,0.14536947364183778
19335,6902387,3,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.449098587036133,0.5062950342988798
19335,6902387,3,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.168512344360352,0.14536947364183778
19335,6902387,4,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.064818382263184,0.9833620242613961
19335,6902387,4,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.474227905273438,0.5249019101764788
19335,6902387,4,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.064818382263184,0.9833620242613961
19335,6902387,4,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.474227905273438,0.5249019101764788
19335,6902387,5,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-8.772007942199707,1.3468733202783691
19335,6902387,5,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.597305297851562,0.6776970853647852
19335,6902387,5,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-8.772007942199707,1.3468733202783691
19335,6902387,5,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.597305297851562,0.6776970853647852
19335,6902387,6,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-8.889504432678223,1.2010065898365445
19335,6902387,6,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.46652889251709,0.5153439241138765
19335,6902387,6,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-8.889504432678223,1.2010065898365445
19335,6902387,6,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.46652889251709,0.5153439241138765
19335,6902387,7,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-8.822274208068848,1.284469959769557
19335,6902387,7,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.588449478149414,0.6667029743060308
19335,6902387,7,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-8.822274208068848,1.284469959769557
19335,6902387,7,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.588449478149414,0.6667029743060308
19335,6902387,8,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-8.884870529174805,1.2067593774344865
19335,6902387,8,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.641776084899902,0.732905613555694
19335,6902387,8,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-8.884870529174805,1.2067593774344865
19335,6902387,8,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.641776084899902,0.732905613555694
19335,6902387,9,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-8.6810884475708,1.4597458780963115
19335,6902387,9,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.70715045928955,0.8140650269821011
19335,6902387,9,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-8.6810884475708,1.4597458780963115
19335,6902387,9,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.70715045928955,0.8140650269821011
19335,6902387,10,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-8.954431533813477,1.1204024465034559
19335,6902387,10,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.949148178100586,1.1144945621417086
19335,6902387,10,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-8.954431533813477,1.1204024465034559
19335,6902387,10,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.949148178100586,1.1144945621417086
19335,6902387,11,encoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.047262191772461,1.0051572633827197
19335,6902387,11,encoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.854610443115234,0.9971301178972194
19335,6902387,11,encoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.047262191772461,1.0051572633827197
19335,6902387,11,encoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.854610443115234,0.9971301178972194
19335,6902387,0,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.856922149658203,0.0
19335,6902387,0,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.051416397094727,0.0
19335,6902387,0,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.829574584960938,0.0339507999914756
19335,6902387,0,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.083974838256836,0.04041987417035071
19335,6902387,0,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.829574584960938,0.0339507999914756
19335,6902387,0,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.083974838256836,0.04041987417035071
19335,6902387,1,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.829574584960938,0.0339507999914756
19335,6902387,1,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.083974838256836,0.04041987417035071
19335,6902387,1,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.795494079589844,0.07626025000177591
19335,6902387,1,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.115839004516602,0.07997783655405774
19335,6902387,1,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.795494079589844,0.07626025000177591
19335,6902387,1,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.115839004516602,0.07997783655405774
19335,6902387,2,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.795494079589844,0.07626025000177591
19335,6902387,2,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.115839004516602,0.07997783655405774
19335,6902387,2,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.638521194458008,0.27113518991657926
19335,6902387,2,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.273170471191406,0.27529793969932537
19335,6902387,2,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.638521194458008,0.27113518991657926
19335,6902387,2,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.273170471191406,0.27529793969932537
19335,6902387,3,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.638521194458008,0.27113518991657926
19335,6902387,3,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.273170471191406,0.27529793969932537
19335,6902387,3,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.629548072814941,0.2822749261810441
19335,6902387,3,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.282329559326172,0.2866685451923555
19335,6902387,3,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.629548072814941,0.2822749261810441
19335,6902387,3,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.282329559326172,0.2866685451923555
19335,6902387,4,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.629548072814941,0.2822749261810441
19335,6902387,4,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.282329559326172,0.2866685451923555
19335,6902387,4,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.588146209716797,0.3336735201282449
19335,6902387,4,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.32227611541748,0.3362604394329378
19335,6902387,4,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.588146209716797,0.3336735201282449
19335,6902387,4,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.32227611541748,0.3362604394329378
19335,6902387,5,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.588146209716797,0.3336735201282449
19335,6902387,5,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.32227611541748,0.3362604394329378
19335,6902387,5,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.542778968811035,0.3899949563953144
19335,6902387,5,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.365975379943848,0.39051115631149114
19335,6902387,5,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.542778968811035,0.3899949563953144
19335,6902387,5,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.365975379943848,0.39051115631149114
19335,6902387,6,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.542778968811035,0.3899949563953144
19335,6902387,6,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.365975379943848,0.39051115631149114
19335,6902387,6,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.496295928955078,0.44770160803377557
19335,6902387,6,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.408132553100586,0.4428474345100955
19335,6902387,6,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.496295928955078,0.44770160803377557
19335,6902387,6,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.408132553100586,0.4428474345100955
19335,6902387,7,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.496295928955078,0.44770160803377557
19335,6902387,7,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.408132553100586,0.4428474345100955
19335,6902387,7,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.436657905578613,0.5217395937175155
19335,6902387,7,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.465188980102539,0.5136804817234447
19335,6902387,7,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.436657905578613,0.5217395937175155
19335,6902387,7,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.465188980102539,0.5136804817234447
19335,6902387,8,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.436657905578613,0.5217395937175155
19335,6902387,8,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.465188980102539,0.5136804817234447
19335,6902387,8,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.353867530822754,0.6245202063852509
19335,6902387,8,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.5411376953125,0.6079674746695019
19335,6902387,8,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.353867530822754,0.6245202063852509
19335,6902387,8,decoder_mlp,reverse,-9.856922149658203,-9.051416397094727,-9.5411376953125,0.6079674746695019
19335,6902387,9,decoder_self_attn,forward,-9.856922149658203,-9.051416397094727,-9.353867530822754,0.6245202063852509
19335,6902387,9,decoder_self_attn,reverse,-9.856922149658203,-9.051416397094727,-9.5411376953125,0.6079674746695019
19335,6902387,9,decoder_cross_attn,forward,-9.856922149658203,-9.051416397094727,-9.403976440429688,0.5623121967621478
19335,6902387,9,decoder_cross_attn,reverse,-9.856922149658203,-9.051416397094727,-9.505501747131348,0.5637270107525864
19335,6902387,9,decoder_mlp,forward,-9.856922149658203,-9.051416397094727,-9.403976440429688,0.5623121967621478
