token	model	dataset	metric	value	position	n_tok	sig
important	t5.large	dl20	MRC	4.592271599193423	random	5	1
important	t5.large	dl20	Success Rate	0.5170234217465488	random	5	1
important	t5.large	dl20	sig	1.0	random	5	1
information	t5.large	dl20	MRC	-0.22335970218706375	random	1	1
information	t5.large	dl20	Success Rate	0.376900108577633	random	1	1
information	t5.large	dl20	sig	1.0	random	1	1
informationbar	t5.large	dl20	MRC	52.982297968047156	start	5	1
informationbar	t5.large	dl20	Success Rate	0.6020435861641074	start	5	1
informationbar	t5.large	dl20	sig	1.0	start	5	1
informationbaz	t5.large	dl20	MRC	42.24406700791066	start	5	1
informationbaz	t5.large	dl20	Success Rate	0.5765472312703583	start	5	1
informationbaz	t5.large	dl20	sig	1.0	start	5	1
informationtrue	t5.large	dl20	MRC	19.2052311152474	end	5	1
informationtrue	t5.large	dl20	Success Rate	0.612513572204126	end	5	1
informationtrue	t5.large	dl20	sig	1.0	end	5	1
irrelevant	t5.large	dl20	MRC	-1.932740034124399	random	1	1
irrelevant	t5.large	dl20	Success Rate	0.3604195749961222	random	1	1
irrelevant	t5.large	dl20	sig	1.0	random	1	1
pertinent	t5.large	dl20	MRC	-0.017585698774623855	random	2	1
pertinent	t5.large	dl20	Success Rate	0.43450442066077244	random	2	1
pertinent	t5.large	dl20	sig	1.0	random	2	1
related	t5.large	dl20	MRC	-4.4773538079727	random	1	1
related	t5.large	dl20	Success Rate	0.2900573910345897	random	1	1
related	t5.large	dl20	sig	1.0	random	1	1
relevance	t5.large	dl20	MRC	13.18630758492322	start	5	1
relevance	t5.large	dl20	Success Rate	0.5179734760353653	start	5	1
relevance	t5.large	dl20	sig	1.0	start	5	1
relevancy	t5.large	dl20	MRC	-3.423569101907864	random	1	1
relevancy	t5.large	dl20	Success Rate	0.34380331937335196	random	1	1
relevancy	t5.large	dl20	sig	1.0	random	1	1
relevant	t5.large	dl20	MRC	28.479079416783	start	5	1
relevant	t5.large	dl20	Success Rate	0.5880836047774158	start	5	1
relevant	t5.large	dl20	sig	1.0	start	5	1
relevantbar	t5.large	dl20	MRC	1.946603071195905	end	5	1
relevantbar	t5.large	dl20	Success Rate	0.450655343570653	end	5	1
relevantbar	t5.large	dl20	sig	1.0	end	5	1
relevantfalse	t5.large	dl20	MRC	25.470606483635798	start	5	1
relevantfalse	t5.large	dl20	Success Rate	0.5264076314564914	start	5	1
relevantfalse	t5.large	dl20	sig	1.0	start	5	1
relevantly	t5.large	dl20	MRC	1.2895338917325887	random	2	1
relevantly	t5.large	dl20	Success Rate	0.4639948813401582	random	2	1
relevantly	t5.large	dl20	sig	1.0	random	2	1
relevanttrue	t5.large	dl20	MRC	10.663661392895921	end	5	1
relevanttrue	t5.large	dl20	Success Rate	0.5549480378470606	end	5	1
relevanttrue	t5.large	dl20	sig	1.0	end	5	1
relevanty	t5.large	dl20	MRC	-0.3610012408872344	random	1	1
relevanty	t5.large	dl20	Success Rate	0.4003218551264154	random	1	1
relevanty	t5.large	dl20	sig	1.0	random	1	1
relevent	t5.large	dl20	MRC	-1.5052156041569722	random	1	1
relevent	t5.large	dl20	Success Rate	0.3695517294865829	random	1	1
relevent	t5.large	dl20	sig	1.0	random	1	1
significant	t5.large	dl20	MRC	4.53753683883977	random	5	1
significant	t5.large	dl20	Success Rate	0.5196409182565535	random	5	1
significant	t5.large	dl20	sig	1.0	random	5	1
true	t5.large	dl20	MRC	-2.9893749030556847	random	1	1
true	t5.large	dl20	Success Rate	0.3048898712579494	random	1	1
true	t5.large	dl20	sig	1.0	random	1	1
trues	t5.large	dl20	MRC	-2.600957809834031	random	1	1
trues	t5.large	dl20	Success Rate	0.32016829533116176	random	1	1
trues	t5.large	dl20	sig	1.0	random	1	1
